S (m),X Coordinate (m),Y Coordinate (m),Z Coordinate (m),Temperature (°C),Time (s)
7.92E-02,-7.92E-02,0,0,5.69E-06,1
8.33E-02,-8.33E-02,0,0,1.22E-06,1
8.75E-02,-8.75E-02,0,0,4.33E-07,1
9.17E-02,-9.17E-02,0,0,9.95E-08,1
9.58E-02,-9.58E-02,0,0,3.37E-08,1
0.1,-0.1,0,0,7.59E-09,1
0.10417,-0.10417,0,0,1.51E-09,1
0.10833,-0.10833,0,0,4.84E-10,1
0.1125,-0.1125,0,0,2.07E-10,1
0.11667,-0.11667,0,0,5.93E-11,1
0.12083,-0.12083,0,0,-3.05E-11,1
0.125,-0.125,0,0,-1.40E-11,1
0.12917,-0.12917,0,0,2.37E-12,1
0.13333,-0.13333,0,0,1.47E-12,1
0.1375,-0.1375,0,0,-2.44E-12,1
0.14167,-0.14167,0,0,-1.98E-12,1
0.14583,-0.14583,0,0,-4.49E-13,1
0.15,-0.15,0,0,-8.20E-14,1
0.15417,-0.15417,0,0,-2.46E-13,1
0.15833,-0.15833,0,0,-2.39E-13,1
0.1625,-0.1625,0,0,-1.07E-13,1
0.16667,-0.16667,0,0,-4.43E-14,1
0.17083,-0.17083,0,0,-3.90E-14,1
0.175,-0.175,0,0,-3.34E-14,1
0.17917,-0.17917,0,0,-1.92E-14,1
0.18333,-0.18333,0,0,-1.01E-14,1
0.1875,-0.1875,0,0,-6.64E-15,1
0.19167,-0.19167,0,0,-4.34E-15,1
0.19583,-0.19583,0,0,-1.92E-15,1
0.2,-0.2,0,0,8.09E-30,1
0,0,0,0,500,2
4.17E-03,-4.17E-03,0,0,402.05,2
8.33E-03,-8.33E-03,0,0,310.32,2
1.25E-02,-1.25E-02,0,0,229.06,2
1.67E-02,-1.67E-02,0,0,162.21,2
2.08E-02,-2.08E-02,0,0,107.24,2
2.50E-02,-2.50E-02,0,0,67.04,2
2.92E-02,-2.92E-02,0,0,39.242,2
3.33E-02,-3.33E-02,0,0,21.124,2
3.75E-02,-3.75E-02,0,0,11.183,2
4.17E-02,-4.17E-02,0,0,5.2712,2
4.58E-02,-4.58E-02,0,0,2.5989,2
5.00E-02,-5.00E-02,0,0,1.0948,2
5.42E-02,-5.42E-02,0,0,0.51239,2
5.83E-02,-5.83E-02,0,0,0.1968,2
6.25E-02,-6.25E-02,0,0,8.82E-02,2
6.67E-02,-6.67E-02,0,0,3.15E-02,2
7.08E-02,-7.08E-02,0,0,1.35E-02,2
7.50E-02,-7.50E-02,0,0,4.60E-03,2
7.92E-02,-7.92E-02,0,0,1.88E-03,2
8.33E-02,-8.33E-02,0,0,6.21E-04,2
8.75E-02,-8.75E-02,0,0,2.41E-04,2
9.17E-02,-9.17E-02,0,0,7.84E-05,2
9.58E-02,-9.58E-02,0,0,2.88E-05,2
0.1,-0.1,0,0,9.35E-06,2
0.10417,-0.10417,0,0,3.08E-06,2
0.10833,-0.10833,0,0,1.06E-06,2
0.1125,-0.1125,0,0,3.00E-07,2
0.11667,-0.11667,0,0,1.15E-07,2
0.12083,-0.12083,0,0,2.84E-08,2
0.125,-0.125,0,0,1.18E-08,2
0.12917,-0.12917,0,0,2.65E-09,2
0.13333,-0.13333,0,0,1.19E-09,2
0.1375,-0.1375,0,0,2.46E-10,2
0.14167,-0.14167,0,0,1.07E-10,2
0.14583,-0.14583,0,0,2.08E-11,2
0.15,-0.15,0,0,1.10E-11,2
0.15417,-0.15417,0,0,1.99E-12,2
0.15833,-0.15833,0,0,2.91E-13,2
0.1625,-0.1625,0,0,-1.31E-13,2
0.16667,-0.16667,0,0,5.29E-14,2
0.17083,-0.17083,0,0,-2.20E-14,2
0.175,-0.175,0,0,-7.50E-14,2
0.17917,-0.17917,0,0,-4.64E-14,2
0.18333,-0.18333,0,0,-1.30E-14,2
0.1875,-0.1875,0,0,-8.71E-15,2
0.19167,-0.19167,0,0,-9.94E-15,2
0.19583,-0.19583,0,0,-5.32E-15,2
0.2,-0.2,0,0,2.76E-29,2
0,0,0,0,500,5
4.17E-03,-4.17E-03,0,0,438.32,5
8.33E-03,-8.33E-03,0,0,378.2,5
1.25E-02,-1.25E-02,0,0,320.82,5
1.67E-02,-1.67E-02,0,0,267.62,5
2.08E-02,-2.08E-02,0,0,219.22,5
2.50E-02,-2.50E-02,0,0,176.57,5
2.92E-02,-2.92E-02,0,0,138.54,5
3.33E-02,-3.33E-02,0,0,106.35,5
3.75E-02,-3.75E-02,0,0,79.297,5
4.17E-02,-4.17E-02,0,0,57.412,5
4.58E-02,-4.58E-02,0,0,40.524,5
5.00E-02,-5.00E-02,0,0,27.594,5
5.42E-02,-5.42E-02,0,0,18.481,5
5.83E-02,-5.83E-02,0,0,11.887,5
6.25E-02,-6.25E-02,0,0,7.5874,5
6.67E-02,-6.67E-02,0,0,4.6324,5
7.08E-02,-7.08E-02,0,0,2.828,5
7.50E-02,-7.50E-02,0,0,1.6466,5
7.92E-02,-7.92E-02,0,0,0.96317,5
8.33E-02,-8.33E-02,0,0,0.53731,5
8.75E-02,-8.75E-02,0,0,0.30126,5
9.17E-02,-9.17E-02,0,0,0.1618,5
9.58E-02,-9.58E-02,0,0,8.69E-02,5
0.1,-0.1,0,0,4.52E-02,5
0.10417,-0.10417,0,0,2.31E-02,5
0.10833,-0.10833,0,0,1.17E-02,5
0.1125,-0.1125,0,0,5.69E-03,5
0.11667,-0.11667,0,0,2.85E-03,5
0.12083,-0.12083,0,0,1.31E-03,5
0.125,-0.125,0,0,6.51E-04,5
0.12917,-0.12917,0,0,2.85E-04,5
0.13333,-0.13333,0,0,1.40E-04,5
0.1375,-0.1375,0,0,5.85E-05,5
0.14167,-0.14167,0,0,2.83E-05,5
0.14583,-0.14583,0,0,1.14E-05,5
0.15,-0.15,0,0,5.45E-06,5
0.15417,-0.15417,0,0,2.13E-06,5
0.15833,-0.15833,0,0,9.95E-07,5
0.1625,-0.1625,0,0,3.79E-07,5
0.16667,-0.16667,0,0,1.73E-07,5
0.17083,-0.17083,0,0,6.50E-08,5
0.175,-0.175,0,0,2.88E-08,5
0.17917,-0.17917,0,0,1.07E-08,5
0.18333,-0.18333,0,0,4.60E-09,5
0.1875,-0.1875,0,0,1.70E-09,5
0.19167,-0.19167,0,0,6.90E-10,5
0.19583,-0.19583,0,0,2.23E-10,5
0.2,-0.2,0,0,-4.95E-25,5
0,0,0,0,500,10
4.17E-03,-4.17E-03,0,0,456.46,10
8.33E-03,-8.33E-03,0,0,413.46,10
1.25E-02,-1.25E-02,0,0,371.45,10
1.67E-02,-1.67E-02,0,0,331,10
2.08E-02,-2.08E-02,0,0,292.4,10
2.50E-02,-2.50E-02,0,0,256.14,10
2.92E-02,-2.92E-02,0,0,222.38,10
3.33E-02,-3.33E-02,0,0,191.46,10
3.75E-02,-3.75E-02,0,0,162.77,10
4.17E-02,-4.17E-02,0,0,136.85,10
4.58E-02,-4.58E-02,0,0,113.58,10
5.00E-02,-5.00E-02,0,0,93.053,10
5.42E-02,-5.42E-02,0,0,75.188,10
5.83E-02,-5.83E-02,0,0,59.728,10
6.25E-02,-6.25E-02,0,0,46.863,10
6.67E-02,-6.67E-02,0,0,36.1,10
7.08E-02,-7.08E-02,0,0,27.513,10
7.50E-02,-7.50E-02,0,0,20.576,10
7.92E-02,-7.92E-02,0,0,15.246,10
8.33E-02,-8.33E-02,0,0,11.088,10
8.75E-02,-8.75E-02,0,0,7.9943,10
9.17E-02,-9.17E-02,0,0,5.6635,10
9.58E-02,-9.58E-02,0,0,3.976,10
0.1,-0.1,0,0,2.7483,10
0.10417,-0.10417,0,0,1.8783,10
0.10833,-0.10833,0,0,1.2692,10
0.1125,-0.1125,0,0,0.8442,10
0.11667,-0.11667,0,0,0.55856,10
0.12083,-0.12083,0,0,0.36162,10
0.125,-0.125,0,0,0.2345,10
0.12917,-0.12917,0,0,0.14781,10
0.13333,-0.13333,0,0,9.40E-02,10
0.1375,-0.1375,0,0,5.77E-02,10
0.14167,-0.14167,0,0,3.60E-02,10
0.14583,-0.14583,0,0,2.16E-02,10
0.15,-0.15,0,0,1.32E-02,10
0.15417,-0.15417,0,0,7.71E-03,10
0.15833,-0.15833,0,0,4.63E-03,10
0.1625,-0.1625,0,0,2.64E-03,10
0.16667,-0.16667,0,0,1.55E-03,10
0.17083,-0.17083,0,0,8.69E-04,10
0.175,-0.175,0,0,5.00E-04,10
0.17917,-0.17917,0,0,2.74E-04,10
0.18333,-0.18333,0,0,1.54E-04,10
0.1875,-0.1875,0,0,8.16E-05,10
0.19167,-0.19167,0,0,4.23E-05,10
0.19583,-0.19583,0,0,1.75E-05,10
0.2,-0.2,0,0,-6.78E-20,10
0,0,0,0,500,20
4.17E-03,-4.17E-03,0,0,469.23,20
8.33E-03,-8.33E-03,0,0,438.65,20
1.25E-02,-1.25E-02,0,0,408.43,20
1.67E-02,-1.67E-02,0,0,378.77,20
2.08E-02,-2.08E-02,0,0,349.8,20
2.50E-02,-2.50E-02,0,0,321.71,20
2.92E-02,-2.92E-02,0,0,294.6,20
3.33E-02,-3.33E-02,0,0,268.64,20
3.75E-02,-3.75E-02,0,0,243.88,20
4.17E-02,-4.17E-02,0,0,220.46,20
4.58E-02,-4.58E-02,0,0,198.28,20
5.00E-02,-5.00E-02,0,0,177.46,20
5.42E-02,-5.42E-02,0,0,157.89,20
5.83E-02,-5.83E-02,0,0,139.61,20
6.25E-02,-6.25E-02,0,0,122.75,20
6.67E-02,-6.67E-02,0,0,107.21,20
7.08E-02,-7.08E-02,0,0,93.068,20
7.50E-02,-7.50E-02,0,0,80.095,20
7.92E-02,-7.92E-02,0,0,68.521,20
8.33E-02,-8.33E-02,0,0,58.058,20
8.75E-02,-8.75E-02,0,0,48.913,20
9.17E-02,-9.17E-02,0,0,40.806,20
9.58E-02,-9.58E-02,0,0,33.855,20
0.1,-0.1,0,0,27.821,20
0.10417,-0.10417,0,0,22.729,20
0.10833,-0.10833,0,0,18.411,20
0.1125,-0.1125,0,0,14.816,20
0.11667,-0.11667,0,0,11.837,20
0.12083,-0.12083,0,0,9.3855,20
0.125,-0.125,0,0,7.3987,20
0.12917,-0.12917,0,0,5.7828,20
0.13333,-0.13333,0,0,4.4997,20
0.1375,-0.1375,0,0,3.4678,20
0.14167,-0.14167,0,0,2.6641,20
